feature,qb_epa_r4,qb_epa_r8,qb_cpoe_r4,qb_success_r4,qb_sack_rate_r4,qb_adot_r4,qb_bad_throw_rate_r4,qb_pressured_rate_r4,qb_scramble_rate_r4,qb_consecutive_starts_prior,qb_is_new_starter,qb_is_rookie,qb_changed_last_week,qb_epa_r4_diff,qb_epa_r8_diff,qb_cpoe_r4_diff,off_epa_play_r4,off_epa_play_r8,off_success_r4,off_cpoe_r4,off_points_per_drive_r4,off_3d_rate_r4,off_pass_rate_r4,off_sack_rate_r4,off_epa_play_r4_diff,off_points_per_drive_r4_diff,def_epa_allowed_r4,def_epa_allowed_r8,def_pass_epa_allowed_r4,def_rush_epa_allowed_r4,def_success_allowed_r4,def_havoc_rate_r4,def_pressure_rate_r4,def_blitz_rate_r4,def_pressure_to_sack_r4,def_3d_stop_rate_r4,def_points_per_drive_r4,def_epa_allowed_r4_diff,def_pressure_rate_r4_diff,def_havoc_rate_r4_diff,def_points_per_drive_r4_diff,inj_qb_out,inj_ol_out,inj_cb_out,inj_edge_out,inj_total_out,is_home,rest_days,short_week,div_game,is_dome,wind,travel_miles,tz_shift,games_of_history,team_spread,total_line,team_ml_implied_prob
qb_epa_r8_diff,0.6387606838327257,0.7112111629685268,0.4227857339274339,0.548029912811207,-0.3081763652900319,0.10310567227364953,-0.21181647239048745,-0.23145209095534397,-0.021904405932057586,0.18127042063177867,,-0.1944792778038337,-0.12093601478801823,0.9022087386943377,1.0,0.5878809970578,0.5686739647370747,0.6253712726487319,0.45708354750639507,0.42088897872352465,0.5167728650162576,0.37905515369395,-0.1710372605789459,-0.31207033864330874,0.8180199802227719,0.7399180559115862,-0.04653895285007937,-0.07076507492020673,-0.05293321887908662,-0.01843232183584406,0.01761213855915038,-0.048719478936744005,0.02470187719067744,-0.024272595684546726,0.029891023596763478,-0.013861291592752725,-0.06733329302518973,-0.06826949417944639,0.03585593322945851,-0.06976918797252381,-0.09743181793249574,-0.1035106465625639,-0.06067464234519402,-0.008433430136321508,0.0031710254629683746,-0.06077787780322023,0.0012103251546843792,0.014645481584558508,0.005766536311642295,3.736607875476212e-18,1.1674810821560039e-20,-1.7545086383507178e-18,-0.01346118208916556,0.08554934286759652,0.0018778227282032556,0.6024038996739776,-6.433379881106724e-18,0.6078057668760863
qb_cpoe_r4_diff,0.46463527545311795,0.41810752760457676,0.7191689067062413,0.4878222750253083,-0.03948150020048211,-0.004735014039978565,-0.382485086016114,-0.03671758269574746,0.016119522580120543,0.12424709953168436,,-0.14113693511427203,-0.1078025779987562,0.6562677015500687,0.5878809970578,1.0,0.3993585344373932,0.358158978455117,0.38316657076500943,0.7026330448033933,0.36555425157198307,0.27314728704907465,-0.1316995643892276,-0.042672278614098176,0.5744649495134042,0.5234024645331319,-0.04376370303567756,-0.050692815850157065,-0.028584267075195884,-0.060120122816796476,0.0006671947672364739,-0.05723165615582299,-0.007398632123887438,-0.010223159800575832,-0.009346047959296529,-0.00879428469024981,-0.055027795972245705,-0.06419839052438235,-0.010739461514429184,-0.0819591314081758,-0.07962566447461018,-0.08133251994476927,-0.05094665212749746,-0.009206033354504924,0.0018171385967006067,-0.0444366705617303,-0.007714988024856042,0.01350211135800556,0.004130996642910269,1.0099649313843093e-18,2.1685137452909063e-18,-7.34738433416909e-19,-0.0015215608978078445,0.06275685482286666,0.00011642253115842194,0.3659292054039445,-1.1155457645172868e-17,0.370331869794211
off_epa_play_r4,0.8975681549529978,0.821358099480747,0.5870281889838705,0.735555833256975,-0.42526069695133617,0.15290080042191087,-0.2719195632121266,-0.35567458487992665,0.05870976521894012,0.2706522594420451,,-0.20041683008899092,-0.20748889552838334,0.6228187207675562,0.5686739647370747,0.3993585344373932,1.0,0.9050947208212421,0.7968887304699346,0.6009794006754762,0.8858089344943582,0.6088910618825589,-0.301617651067095,-0.45339568615250686,0.6951834655459249,0.6162697264207562,-0.06278678107717178,-0.09392523546001058,-0.07289298428937795,-0.02361079874424733,0.040485539912949495,-0.05827944632154315,0.08248689973019314,-0.045420293027118024,0.011213696740945385,-0.0076838596743131335,-0.10772346948048445,-0.028232174990192104,0.049755090408300374,-0.06053170423574913,-0.054312478710257114,-0.14789722387763002,-0.09518651689819363,-0.008205586235123265,0.02561700593582672,-0.08967681639019268,0.01899935998353891,0.006263970826080051,0.02706771780463336,-0.010490383916795276,-0.036201976004438204,0.0445982225905926,-0.027941996847624124,0.028202532487013852,-0.023211983766354742,0.4280124648014238,0.39302500278799646,0.42835502330420944
off_epa_play_r8,0.818252730906671,0.9098796835332678,0.5265009467839682,0.6925755326154049,-0.4026876596660445,0.1643868513216745,-0.25856314808509573,-0.33585929759107297,0.07507095123221982,0.27249145655043705,,-0.22721011425653592,-0.17820669355055188,0.5629829847273864,0.6253712726487319,0.358158978455117,0.9050947208212421,1.0,0.7500546447588007,0.537012508529402,0.8032277169971136,0.5511950446360868,-0.2691944233334884,-0.4307619024361064,0.6253983707436349,0.557411300478402,-0.0794139312404362,-0.09610543621255835,-0.08404185023644112,-0.024528190396515225,0.026480185835057107,-0.048417071421142675,0.09894093887014004,-0.032095451414278796,0.012982559790724907,0.00013836602552953786,-0.10691536985794226,-0.03254029745548727,0.039203887075791775,-0.04623222509847329,-0.04793921727414909,-0.15455222493376364,-0.09891464279679409,-0.008941066986051925,0.030713650601135737,-0.08639659215264146,0.012208526268931152,0.011722725193732993,0.03751254110994645,-0.0001734306727306052,-0.027581798895440216,0.0398859292788876,-0.018036447543807288,0.03765082187248335,-0.01400463394131046,0.4523895400107458,0.42616648711200467,0.45500322675020927
off_success_r4,0.6903146157760034,0.6651664935249201,0.5531638249004618,0.8301438136072783,-0.38440972021134645,0.04769325205110781,-0.24871796853173672,-0.35043867811800283,0.03866933710526919,0.24368994771699798,,-0.19521967556402672,-0.16671828661880025,0.4795515171479244,0.45708354750639507,0.38316657076500943,0.7968887304699346,0.7500546447588007,1.0,0.5667605897014161,0.7306492926665792,0.5487537469089644,-0.23626289448786236,-0.4096037006569011,0.5559381516148344,0.5142405238428691,0.004244799476614617,-0.015410929618138914,0.0024662086190403334,-0.011710491096358407,0.07737140610283681,-0.07483216823981204,0.08489619053507025,0.012935954243177354,-0.052911892292816724,-0.06204461985004662,-0.002527922765262845,0.016517757059803923,0.03717489157380672,-0.0757500030216867,0.016055272691707298,-0.12089079242686505,-0.07890187659757525,-0.013123343762051433,0.052945280930057424,-0.09161180867655755,0.01376206677266565,0.013295733133650185,0.045202982437884086,-0.013743780600383969,-0.02742137689029826,0.04399142258750225,-0.008406344658546585,0.03202578226109669,-0.04945109040971753,0.384745449789145,0.38605323506227646,0.3841549628241813
off_cpoe_r4,0.665822603373993,0.5875808126039505,0.9825373963873852,0.679464419531958,-0.0721981761343071,0.00032070984604600655,-0.5228627138174575,-0.08808664551095609,0.05108555322068794,0.13206993320795923,,-0.17531985381795176,-0.1533803180894995,0.4724712755949329,0.42088897872352465,0.7026330448033933,0.6009794006754762,0.537012508529402,0.5667605897014161,1.0,0.5447019907719725,0.40275791470520506,-0.19379635605192277,-0.087375314391352,0.42468082452133926,0.38566510490996786,-0.07154059164391492,-0.08080451070741367,-0.051536076376899026,-0.08402861704633229,0.013405427106836745,-0.03780238767249181,0.0157476449715094,-0.024971141738876566,-0.002057503936822316,0.0031972705300894392,-0.08923287115631888,-0.03852596284686427,-0.013344118490558426,-0.06662040176226361,-0.04785864482355252,-0.11235339798216075,-0.056426463195387216,-0.0020336880335825496,0.009030489036329846,-0.06545054502741397,0.00020383563694837564,0.023860183083972298,0.007443949909491363,-0.027362905129720408,-0.04560794130502227,0.045768172293363454,0.0010714847927156942,0.053666309140714255,-0.10312722810375952,0.269636576169093,0.2288906484734387,0.2737170283208252
off_points_per_drive_r4,0.8007960108326687,0.7354178314007181,0.531591911882358,0.683523299452278,-0.3644605363845757,0.10829697993068427,-0.28241287447717595,-0.3175705991361204,0.045577156363145875,0.279929820099786,,-0.18938025854566864,-0.20144974321252201,0.5604364761857998,0.5167728650162576,0.36555425157198307,0.8858089344943582,0.8032277169971136,0.7306492926665792,0.5447019907719725,1.0,0.5901986565608601,-0.3118246164665246,-0.39135540486524767,0.6191380227568758,0.6984190490926601,-0.111307049548904,-0.11968498551848068,-0.13322837780505242,-0.00921063815408817,0.04047835156009098,-0.004116878479758964,0.10185113451629876,-0.03940617220853201,-0.0003624862876583331,-0.017413777361995085,-0.056082679276611126,-0.05955103855335507,0.04124976611296996,-0.014344236069640174,-0.02118328898733792,-0.1413388868637947,-0.08116932159371679,-0.012847877199285162,0.03191010425624349,-0.08522580964693945,-0.0007961658321851418,-0.01308118048823195,0.0330456953244889,-0.013665267838365903,0.0041853799763422695,0.010974904657674632,-0.011176262262684183,0.030855683073758484,-0.008007928527657675,0.40833894872557064,0.41064560386495697,0.4102352556388787
off_3d_rate_r4,0.5524202500619634,0.5010774954356033,0.37979687461041606,0.523194937534829,-0.32293422805848243,0.002948380917547803,-0.2479623214749626,-0.29569105055277134,0.04871047241139355,0.2079815398436006,,-0.1553120817378641,-0.12802489368412553,0.40885557267407635,0.37905515369395,0.27314728704907465,0.6088910618825589,0.5511950446360868,0.5487537469089644,0.40275791470520506,0.5901986565608601,1.0,-0.18535028241185342,-0.346791317144085,0.4389128527964024,0.43218241255849116,-0.022351935594503314,-0.03978583286154005,-0.03371863097786618,-0.014780062224595892,0.057954200661566514,-0.03389869339187651,0.005047919139046919,-0.018645940169872723,-0.01591507926565795,-0.024726093232188027,-0.006076716335024407,0.007709194272860018,-0.03817259745042292,-0.05963112790482752,0.02992251544447604,-0.04869739305390717,-0.07387449734092191,-0.029984326136817462,0.04948011953171829,-0.06810272188044453,-0.009008449689482,0.009015959101190019,0.03420255606361425,0.00939194129742995,-0.009541086392615269,0.012655957685229754,-0.021500954419833837,0.017488892156927574,0.01432561084288337,0.29484995486017723,0.2542456972098969,0.2954539089091695
off_pass_rate_r4,-0.2594086605775449,-0.23199086033853622,-0.1988493558477183,-0.18300705019618732,0.040054750779606116,-0.13152206199483144,0.0668824171037917,0.06295081118282189,-0.06763319998575938,-0.024358504942111607,,0.015379447943420681,-0.0012007095647767602,-0.18944837576511228,-0.1710372605789459,-0.1316995643892276,-0.301617651067095,-0.2691944233334884,-0.23626289448786236,-0.19379635605192277,-0.3118246164665246,-0.18535028241185342,1.0,0.04888246531240464,-0.21385902625710362,-0.22355005733859099,0.37343023790563074,0.3040780866650472,0.33675315901091396,0.20686129051497096,0.2562417144203188,-0.1037084570960657,-0.012674031583159929,0.15608445055663348,-0.07899473809746646,-0.1798862844537041,0.3506945594338511,0.23193373795707178,0.002800587791152834,-0.07183314883277034,0.21327084232093838,0.00025808523115264094,0.04838953419460074,0.018384334419506397,0.0025327672417866792,0.028378181070920865,-0.010656202715256158,-0.01283160925354064,0.0015027329183907078,-0.019481920500716933,-0.00036738930421735425,-0.017740081317207276,0.024501841062559516,0.020882964373067237,-0.10673425641621141,-0.14492440573606558,0.041659482925433165,-0.14616807449169752
off_sack_rate_r4,-0.4656878615840919,-0.44490967698315054,-0.07802842404126126,-0.4036251440618218,0.9797993024252262,-0.0032189815655837262,-0.09976327987994914,0.47348484563916543,0.16885969221597374,-0.12289331193969073,,0.17257412979640846,0.10434734951270302,-0.32154548876096306,-0.31207033864330874,-0.042672278614098176,-0.45339568615250686,-0.4307619024361064,-0.4096037006569011,-0.087375314391352,-0.39135540486524767,-0.346791317144085,0.04888246531240464,1.0,-0.3160770078599303,-0.2718094833925194,0.032722790937947784,0.04014749262985909,0.04861701558794471,-0.013905589541139027,-0.04613229456295105,0.04914690471951248,-0.10421093764338557,0.017953562143604416,-0.006487229597779212,0.04804144636399503,0.03913061164156062,-0.0017636479650047837,-0.06156987922482123,0.053575696647728335,0.005075425077901059,0.06929237540791912,0.08655345600471981,0.03471947942170438,-0.008748046856854692,0.10142097836615921,-0.0004857736859453786,-0.008595367536008727,-0.016618377252854557,0.02337467333263026,-0.034750195661162185,0.019760474792070045,-0.014743240564689989,5.045908371068083e-05,-0.00042647732919413536,-0.2066597475806271,-0.25038525089791075,-0.20281834708138802
off_epa_play_r4_diff,0.6342980435548466,0.5817849414657316,0.4131373296826106,0.5278491658396587,-0.3041087533491391,0.12172484155267622,-0.1826280372953082,-0.23426112843010205,0.02103824486866259,0.205921006825266,,-0.13781716419294102,-0.14949558962810075,0.8959055438386442,0.8180199802227719,0.5744649495134042,0.6951834655459249,0.6253983707436349,0.5559381516148344,0.42468082452133926,0.6191380227568758,0.4389128527964024,-0.21385902625710362,-0.3160770078599303,1.0,0.8864850172131197,-0.027684381489712848,-0.05098210236409879,-0.03643547606476204,-0.009586591584863089,0.03083607026046746,-0.060802639619189275,0.049306822193607325,-0.029666863353629096,0.004141478042680079,-0.03200212584733922,-0.05399197800504973,-0.040611114028757125,0.0715711648424028,-0.08707299185865103,-0.07812682752402028,-0.11877333696694206,-0.061754538957383344,-0.007971803628022115,-0.02194421262099518,-0.07475357939545219,0.027329994059365068,0.01134879940235802,0.0006737695260120263,4.039848046820767e-18,3.077490363884606e-18,1.3263676388466621e-20,-0.03523388065190268,0.021998878797800922,0.003700080360944149,0.6156827456552166,-8.332548699279253e-19,0.6169622312673203
off_points_per_drive_r4_diff,0.5681218145809266,0.5262379810462919,0.3764147781856434,0.49546846629647867,-0.2606909466325906,0.09353288563675148,-0.18831825249100442,-0.21831316197050196,0.020369546718126103,0.19015137102577054,,-0.13349544261508436,-0.12790015977372735,0.802435839792577,0.7399180559115862,0.5234024645331319,0.6162697264207562,0.557411300478402,0.5142405238428691,0.38566510490996786,0.6984190490926601,0.43218241255849116,-0.22355005733859099,-0.2718094833925194,0.8864850172131197,1.0,-0.058125029446075734,-0.06309665454092185,-0.07695017521647741,0.005101164954438836,0.04500485786442338,-0.014341689455549055,0.04068874944282258,-0.026360999605486442,-0.0037076016142240883,-0.041784262541216366,-0.02096072806969379,-0.08526548442617682,0.05906162806778993,-0.020538151255002808,-0.03033034252839744,-0.0966429788768485,-0.05164650045279665,-0.014325463391639493,-0.0038879677779892945,-0.07140207281924103,-0.0011399543486384858,0.013544806902122689,0.00110709190056357,1.1176600730669328e-18,2.1840926709213487e-18,-8.021175650775653e-19,-0.01404774029997081,0.03156094464658333,0.003960606120583956,0.584661814788786,-2.364846113489529e-18,0.5865081542706528
def_epa_allowed_r4,-0.09161690938780416,-0.10677794684552858,-0.07488654741979892,-0.05540274658643644,0.033949174825964136,-0.0243902360276355,0.024885211441642047,0.010547796172566192,0.0030615006788559033,-0.045358905586063814,,0.014892263200362497,0.027286598915319045,-0.036718732842980176,-0.04653895285007937,-0.04376370303567756,-0.06278678107717178,-0.0794139312404362,0.004244799476614617,-0.07154059164391492,-0.111307049548904,-0.022351935594503314,0.37343023790563074,0.032722790937947784,-0.027684381489712848,-0.058125029446075734,1.0,0.8728617401314438,0.9016789937689443,0.4623897840627447,0.7660869724780299,-0.32412560766021886,-0.3477526184530366,-0.019465729604094418,-0.15493739878246027,-0.5748414390952521,0.8720577802524554,0.681694707269277,-0.2487998531212868,-0.23680493302981165,0.5943635132717282,0.04958635290029148,0.01721944942363905,0.0834895829294441,0.06932521172601155,0.09812523052095655,0.0025042685187602943,0.015648677558907385,-0.015139793289504842,0.013484135781521205,-0.03228318053764244,0.01880909175704242,-0.022394160578580676,-0.013471354594417695,-0.0427994197586268,-0.21429739528642514,0.13347688520931067,-0.21342455267380123
