feature,n,raw_corr,raw_auc,corr_with_spread,residual_corr,residual_p,residual_auc,survives_bh
def_epa_allowed_r4,2550,-0.07611036853574962,0.4546893992706801,-0.21524010357317636,0.00927592287655046,0.6396476136110122,0.5063704768138265,False
inj_qb_out,2710,-0.0831904473523723,0.4768042374150679,-0.1910984298129519,-0.008514590561744879,0.6577272552937861,0.662290546152694,False
inj_cb_out,2710,-0.03288392154119084,0.4872550755027846,-0.0628614424000552,-0.008284215975715048,0.6664208643015753,0.6184403807137703,False
off_points_per_drive_r4,2550,0.14583832242261563,0.5901053995265818,0.3874730916104656,-0.008115838698999093,0.6820733010687546,0.49824651949036186,False
qb_is_rookie,2710,-0.06657263884942471,0.4797047970479705,-0.1901341677142744,0.008029000340307381,0.6761044109970897,0.656886752631364,False
off_sack_rate_r4,2550,-0.0738858750880643,0.45502926876079586,-0.20583205211610786,0.007725733491378756,0.6965772520531427,0.5034423704374443,False
qb_epa_r8,2550,0.15458824109154345,0.5980583455952914,0.4084252057326578,-0.007693442768113068,0.6977828801180609,0.49772210548072615,False
qb_sack_rate_r4,2550,-0.07121694137635959,0.45721642889130576,-0.19708255652138154,0.0069025093027080126,0.7275451468403108,0.5047864696879475,False
def_pressure_rate_r4_diff,2548,0.07484415273873003,0.5481425392279844,0.2060435347390761,-0.006815807792019386,0.7309353330503542,0.499932227449608,False
off_pass_rate_r4,2550,-0.04502182746385486,0.4698275862068966,-0.13038950072160804,0.006628899771868198,0.7379399882319057,0.4990745092346078,False
def_pressure_rate_r4,2550,0.050501765789857225,0.5330574597815977,0.14172966754154948,-0.005636485481056986,0.7760339239667888,0.4995140327652643,False
qb_scramble_rate_r4,2550,-0.0030868759019969695,0.49325951142453606,-0.017732096061080848,0.003930197787845655,0.842756591257473,0.49772856453890935,False
off_epa_play_r8,2550,0.1664534592903445,0.6056277466375989,0.4281417691736113,-0.0032742610399072863,0.8687381981604565,0.5008525956801819,False
inj_edge_out,2710,-0.005856750434809012,0.4974937705096608,-0.023053940467392457,0.0031718501532237717,0.8689098733820861,0.6689701937609782,False
qb_is_new_starter,2710,-0.0031311214554257463,0.4992619926199262,-0.0018611638679820056,-0.002402307206805593,0.9005227769477134,0.7006200895957299,False
rest_days,2710,0.020637560674543202,0.5008918723873585,0.049227750038483696,0.001361978458160564,0.9435022272138052,0.40319821353195084,False
tz_shift,2710,0.024462867323359783,0.5109451124031535,0.05945622995781151,0.0011823261475695248,0.9509444827024301,0.39778298225786685,False
qb_changed_last_week,2710,-0.05838959853796613,0.4826568265682657,-0.1512349900820458,0.0008426299215182819,0.9650278669501563,0.6676613880529949,False
games_of_history,2710,0.0004533398166987439,0.500264157623126,-0.0008143947360042612,0.0007722512048413486,0.9679471910121178,0.5132735120709141,False
div_game,2710,0.0,0.5,0.0,0.0,1.0000000000000007,0.5,False
is_dome,2710,0.0,0.5,0.0,0.0,1.0000000000000007,0.5,False
wind,2406,0.0,0.5,0.0,0.0,1.0000000000000009,0.5,False
